Date ,Day,Month,Quarter,Year,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,No of trades 
21-Aug-24,Wednesday,August,Q3,2024,EQ,1875.10,1879.00,1867.10,1872.20,1872.60,1872.70,1871.57,1903.00,1351.65,1966902.00,116979.00
20-Aug-24,Tuesday,August,Q3,2024,EQ,1880.00,1885.70,1868.20,1864.80,1871.00,1872.20,1875.20,1903.00,1351.65,3870333.00,141879.00
19-Aug-24,Monday,August,Q3,2024,EQ,1860.00,1867.55,1849.20,1858.95,1865.00,1864.80,1862.30,1903.00,1351.65,2585989.00,140168.00
16-Aug-24,Friday,August,Q3,2024,EQ,1850.00,1861.85,1829.50,1823.25,1856.95,1858.95,1844.85,1903.00,1351.65,7335657.00,218353.00
14-Aug-24,Wednesday,August,Q3,2024,EQ,1802.00,1825.00,1797.45,1797.45,1820.00,1823.25,1813.72,1903.00,1351.65,7450718.00,195413.00
13-Aug-24,Tuesday,August,Q3,2024,EQ,1810.00,1810.00,1789.05,1797.40,1795.95,1797.45,1799.30,1903.00,1351.65,4176918.00,152390.00
12-Aug-24,Monday,August,Q3,2024,EQ,1773.05,1803.50,1768.10,1770.75,1793.30,1797.40,1793.12,1903.00,1351.65,4315329.00,138899.00
09-Aug-24,Friday,August,Q3,2024,EQ,1771.25,1780.75,1756.00,1743.15,1770.70,1770.75,1766.78,1903.00,1351.65,4258524.00,130511.00
08-Aug-24,Thursday,August,Q3,2024,EQ,1779.95,1779.95,1727.10,1791.65,1739.00,1743.15,1748.61,1903.00,1351.65,6227910.00,237457.00
07-Aug-24,Wednesday,August,Q3,2024,EQ,1796.00,1797.90,1762.10,1751.10,1792.00,1791.65,1782.20,1903.00,1351.65,5094329.00,189924.00
06-Aug-24,Tuesday,August,Q3,2024,EQ,1760.20,1796.95,1744.85,1751.90,1756.00,1751.10,1762.70,1903.00,1351.65,7690163.00,229956.00
05-Aug-24,Monday,August,Q3,2024,EQ,1784.95,1797.50,1718.55,1821.20,1751.45,1751.90,1748.15,1903.00,1351.65,10736703.00,357150.00
02-Aug-24,Friday,August,Q3,2024,EQ,1843.00,1859.50,1816.15,1852.60,1819.00,1821.20,1829.19,1903.00,1333.25,7400938.00,244351.00
01-Aug-24,Thursday,August,Q3,2024,EQ,1856.10,1867.90,1845.10,1868.25,1847.65,1852.60,1854.74,1903.00,1333.25,7475014.00,287435.00
31-Jul-24,Wednesday,July,Q3,2024,EQ,1877.00,1885.15,1865.05,1877.15,1869.00,1868.25,1870.34,1903.00,1333.25,5004209.00,252105.00
30-Jul-24,Tuesday,July,Q3,2024,EQ,1871.10,1879.95,1860.00,1871.10,1875.20,1877.15,1870.20,1903.00,1333.25,2721265.00,160022.00
29-Jul-24,Monday,July,Q3,2024,EQ,1893.60,1903.00,1864.00,1878.90,1874.95,1871.10,1877.26,1903.00,1333.25,4635931.00,208557.00
